"school","sex","age","famsize","Pstatus","reason","nursery","internet","guardian","traveltime","studytime","schoolsup","famsup","paid","activities","romantic","famrel","freetime","goout","health","absences","G3","MplusFedu","parent_health_teacher"
"GP","F",15,"GT3","T","home","yes","yes","mother",2,4,"yes","yes","yes","yes","no",3,1,2,1,2,10,"2",0
"GP","F",15,"GT3","T","reputation","no","yes","mother",1,2,"yes","yes","no","no","yes",3,3,4,5,2,5,"2",0
"GP","F",15,"GT3","T","reputation","yes","no","mother",1,1,"yes","yes","yes","yes","no",4,3,1,2,8,13,"4",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"yes","yes","yes","yes","no",4,3,2,5,2,8,"6",1
"GP","F",15,"GT3","T","reputation","yes","yes","other",2,3,"no","yes","yes","yes","yes",4,2,1,3,8,10,"6",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"yes","yes","yes","yes","no",4,3,2,5,2,11,"7",1
"GP","F",15,"GT3","T","course","yes","yes","father",2,3,"no","yes","no","no","yes",4,2,2,5,0,0,"7",1
"GP","F",15,"LE3","T","reputation","yes","yes","mother",2,2,"yes","yes","yes","no","no",4,1,3,4,2,8,"4",1
"GP","F",15,"LE3","T","reputation","no","yes","father",2,4,"no","yes","no","no","no",4,4,2,3,12,16,"4",0
"GP","F",15,"GT3","A","reputation","yes","no","father",1,4,"yes","no","no","no","no",4,3,3,4,10,11,"6",1
"GP","F",15,"GT3","A","reputation","yes","yes","mother",1,2,"no","yes","yes","yes","no",4,3,2,1,0,15,"7",0
"GP","F",15,"GT3","T","course","no","yes","mother",3,1,"no","yes","no","yes","yes",4,3,3,4,0,0,"2",0
"GP","F",15,"GT3","T","home","no","yes","father",1,2,"no","yes","no","yes","no",4,3,2,4,2,10,"2",0
"GP","F",15,"GT3","T","course","yes","yes","father",1,2,"no","yes","yes","no","no",4,4,2,5,0,11,"2",0
"GP","F",15,"GT3","T","course","no","yes","mother",1,2,"no","yes","yes","no","no",4,3,2,5,2,11,"3",0
"GP","F",15,"GT3","T","course","no","yes","mother",1,2,"no","no","no","no","no",3,2,3,1,2,15,"3",0
"GP","F",15,"GT3","T","reputation","yes","yes","father",3,3,"no","yes","no","yes","no",5,2,2,4,4,12,"3",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,4,"yes","yes","yes","no","no",5,1,2,3,8,8,"4",0
"GP","F",15,"GT3","T","other","yes","no","father",2,1,"no","yes","no","yes","no",3,5,1,5,0,6,"5",0
"GP","F",15,"GT3","T","home","yes","yes","father",1,2,"no","yes","no","no","no",3,3,2,3,0,0,"5",1
"GP","F",15,"GT3","T","home","yes","yes","mother",2,2,"yes","yes","yes","no","no",4,3,5,2,26,6,"5",0
"GP","F",15,"GT3","T","home","yes","yes","mother",1,3,"no","yes","yes","yes","yes",3,2,2,5,2,15,"6",1
"GP","F",15,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","no","yes","no",5,3,3,1,4,14,"6",0
"GP","F",15,"GT3","T","reputation","yes","yes","mother",1,1,"no","no","yes","yes","no",4,5,5,1,4,18,"7",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"no","yes","no","yes","yes",4,3,3,5,0,0,"8",0
